['01-0001_mask.png', '186', '73', '232', '37']

['03-0458_mask.png', '287', '248', '368', '87']

['03-0459_mask.png', '287', '248', '368', '87']

['03-0460_mask.png', '287', '248', '368', '87']

['03-0461_mask.png', '287', '248', '368', '87']

['03-0462_mask.png', '287', '248', '368', '89']

['03-0463_mask.png', '287', '248', '368', '89']

['03-0464_mask.png', '287', '248', '368', '89']

['03-0465_mask.png', '287', '248', '368', '89']

['03-0466_mask.png', '287', '245', '368', '89']

['03-0467_mask.png', '287', '245', '368', '89']

['03-0468_mask.png', '287', '245', '368', '89']

['03-0469_mask.png', '287', '245', '368', '89']

['03-0470_mask.png', '289', '250', '369', '94']

['03-0471_mask.png', '289', '250', '369', '94']

['03-0472_mask.png', '287', '250', '367', '94']

['03-0473_mask.png', '286', '252', '366', '96']

['03-0474_mask.png', '286', '252', '366', '96']

['03-0475_mask.png', '284', '254', '364', '98']

['03-0476_mask.png', '284', '254', '364', '98']

['03-0477_mask.png', '282', '255', '362', '100']

['03-0478_mask.png', '280', '255', '360', '99']

['03-0479_mask.png', '277', '254', '357', '98']

['03-0480_mask.png', '270', '258', '353', '98']

['03-0481_mask.png', '271', '257', '352', '94']

['03-0482_mask.png', '270', '256', '351', '93']

['03-0483_mask.png', '268', '256', '347', '92']

['03-0484_mask.png', '264', '255', '346', '91']

['03-0485_mask.png', '260', '255', '343', '92']

['03-0486_mask.png', '255', '248', '347', '89']

['03-0487_mask.png', '250', '252', '341', '86']

['03-0488_mask.png', '247', '250', '338', '84']

['03-0489_mask.png', '247', '250', '338', '84']

['03-0490_mask.png', '243', '253', '334', '88']

['03-0491_mask.png', '243', '253', '334', '89']

['03-0492_mask.png', '240', '254', '332', '90']

['03-0493_mask.png', '240', '254', '332', '90']

['03-0494_mask.png', '240', '254', '332', '90']

['03-0495_mask.png', '240', '254', '332', '90']

['03-0496_mask.png', '240', '254', '332', '90']

['03-0497_mask.png', '236', '254', '332', '98']

['03-0498_mask.png', '233', '253', '330', '101']

['03-0499_mask.png', '231', '253', '329', '101']

['03-0500_mask.png', '231', '253', '329', '102']

['03-0501_mask.png', '227', '253', '325', '104']

['03-0502_mask.png', '227', '250', '325', '104']

['03-0503_mask.png', '227', '247', '325', '104']

['03-0504_mask.png', '224', '247', '323', '103']

['03-0505_mask.png', '224', '247', '323', '103']

['03-0506_mask.png', '224', '248', '323', '103']

['03-0507_mask.png', '224', '250', '325', '103']

['03-0508_mask.png', '224', '250', '325', '103']

['03-0509_mask.png', '224', '252', '327', '101']

['03-0510_mask.png', '224', '254', '329', '101']

['03-0511_mask.png', '224', '258', '333', '97']

['03-0512_mask.png', '224', '261', '336', '93']

['03-0513_mask.png', '238', '255', '344', '87']

['03-0514_mask.png', '253', '248', '355', '75']

['03-0515_mask.png', '259', '240', '361', '67']

['03-0516_mask.png', '261', '236', '363', '63']

['03-0517_mask.png', '275', '221', '370', '54']

['03-0518_mask.png', '275', '216', '370', '50']

['03-0519_mask.png', '286', '209', '371', '43']

['03-0520_mask.png', '293', '201', '358', '37']

['03-0521_mask.png', '295', '181', '355', '34']

['03-0522_mask.png', '298', '157', '355', '34']

['03-0523_mask.png', '305', '144', '350', '34']

['03-0524_mask.png', '320', '131', '350', '44']

['03-0525_mask.png', '328', '126', '350', '49']

['03-0526_mask.png', '333', '118', '350', '60']

['03-0527_mask.png', '336', '117', '344', '60']

['03-0528_mask.png', '339', '110', '344', '63']

['03-0529_mask.png', '339', '110', '344', '63']

['03-0530_mask.png', '339', '110', '344', '63']

['03-0531_mask.png', '335', '110', '344', '63']

['03-0532_mask.png', '332', '127', '346', '60']

['03-0533_mask.png', '328', '150', '346', '60']

['03-0534_mask.png', '320', '171', '349', '64']

['03-0535_mask.png', '308', '196', '351', '61']

['03-0536_mask.png', '301', '197', '353', '57']

['03-0537_mask.png', '298', '197', '353', '54']

['03-0538_mask.png', '298', '197', '356', '52']

['03-0539_mask.png', '298', '197', '356', '57']

['03-0540_mask.png', '298', '204', '356', '61']

['03-0541_mask.png', '296', '206', '356', '69']

['03-0542_mask.png', '296', '216', '356', '78']

['03-0543_mask.png', '296', '226', '358', '84']

['03-0544_mask.png', '296', '231', '358', '92']

['03-0545_mask.png', '292', '237', '358', '100']

['03-0546_mask.png', '291', '242', '357', '105']

['03-0547_mask.png', '287', '247', '353', '111']

['03-0548_mask.png', '285', '255', '351', '117']

['03-0549_mask.png', '281', '256', '347', '118']

['03-0550_mask.png', '277', '260', '344', '122']

['03-0551_mask.png', '272', '262', '338', '124']

['03-0552_mask.png', '272', '259', '330', '121']

['03-0553_mask.png', '265', '257', '325', '117']

['03-0554_mask.png', '261', '257', '321', '117']

['03-0555_mask.png', '261', '257', '321', '117']

['03-0556_mask.png', '261', '257', '321', '121']

['03-0557_mask.png', '256', '258', '315', '122']

['03-0558_mask.png', '254', '259', '308', '123']

['03-0559_mask.png', '254', '259', '308', '123']

['03-0560_mask.png', '254', '259', '308', '129']

['03-0561_mask.png', '254', '259', '308', '129']

['03-0562_mask.png', '248', '254', '300', '135']

['03-0563_mask.png', '252', '246', '304', '128']

['03-0564_mask.png', '252', '246', '304', '128']

['03-0565_mask.png', '310', '207', '351', '92']

['03-0566_mask.png', '322', '179', '353', '89']

['03-0567_mask.png', '332', '140', '349', '85']

['03-0568_mask.png', '338', '118', '346', '85']

['03-0569_mask.png', '338', '118', '346', '85']

['03-0570_mask.png', '338', '118', '346', '85']

['03-0571_mask.png', '338', '118', '346', '85']

['03-0572_mask.png', '338', '118', '346', '85']

['03-0573_mask.png', '338', '118', '346', '85']

['03-0574_mask.png', '338', '118', '346', '85']

['03-0575_mask.png', '338', '118', '346', '85']

['03-0576_mask.png', '338', '118', '346', '85']

['03-0577_mask.png', '338', '118', '346', '85']

['03-0578_mask.png', '338', '118', '346', '85']

['03-0579_mask.png', '338', '118', '346', '85']

['03-0580_mask.png', '338', '118', '346', '85']

['03-0581_mask.png', '338', '118', '346', '85']

['03-0582_mask.png', '338', '118', '346', '85']

['03-0583_mask.png', '338', '118', '346', '85']

['03-0584_mask.png', '338', '118', '346', '85']

['03-0585_mask.png', '338', '118', '346', '85']

['03-0586_mask.png', '338', '118', '346', '85']

['03-0587_mask.png', '338', '118', '346', '85']

['03-0588_mask.png', '338', '118', '346', '85']

['03-0589_mask.png', '338', '118', '346', '85']

['03-0590_mask.png', '338', '118', '346', '85']

['03-0591_mask.png', '338', '118', '346', '85']

['03-0592_mask.png', '338', '118', '346', '85']

['03-0593_mask.png', '338', '118', '346', '85']

['03-0594_mask.png', '338', '118', '346', '85']

['03-0595_mask.png', '338', '118', '346', '85']

['03-0596_mask.png', '338', '118', '346', '85']

['03-0597_mask.png', '338', '118', '346', '85']

['03-0598_mask.png', '338', '118', '346', '85']

['03-0599_mask.png', '338', '118', '346', '85']

['03-0600_mask.png', '338', '118', '346', '85']

['03-0601_mask.png', '338', '118', '346', '85']

['03-0602_mask.png', '338', '118', '346', '85']

['03-0603_mask.png', '338', '118', '346', '85']

['03-0604_mask.png', '338', '118', '346', '85']

['03-0605_mask.png', '338', '118', '346', '85']

['03-0606_mask.png', '338', '118', '346', '85']

['03-0607_mask.png', '332', '98', '346', '55']

['03-0608_mask.png', '332', '105', '346', '64']

['03-0609_mask.png', '333', '110', '348', '66']

['03-0610_mask.png', '333', '110', '348', '65']

['03-0611_mask.png', '333', '113', '347', '68']

['03-0612_mask.png', '333', '113', '347', '68']

['03-0613_mask.png', '333', '113', '347', '73']

['03-0614_mask.png', '331', '121', '345', '72']

['03-0615_mask.png', '321', '147', '347', '70']

['03-0616_mask.png', '314', '150', '347', '74']

['03-0617_mask.png', '311', '162', '347', '72']

['03-0618_mask.png', '311', '162', '347', '72']

['03-0619_mask.png', '311', '162', '347', '71']

['03-0620_mask.png', '310', '162', '347', '70']

['03-0621_mask.png', '307', '162', '347', '69']

['03-0622_mask.png', '305', '162', '347', '69']

['03-0623_mask.png', '305', '163', '349', '69']

['03-0624_mask.png', '305', '163', '349', '67']

['03-0625_mask.png', '305', '163', '349', '67']

['03-0626_mask.png', '305', '163', '349', '67']

['03-0627_mask.png', '305', '163', '349', '67']

['03-0628_mask.png', '305', '163', '349', '69']

['03-0629_mask.png', '305', '164', '354', '69']

['03-0630_mask.png', '305', '164', '354', '69']

['03-0631_mask.png', '305', '164', '354', '72']

['03-0632_mask.png', '305', '164', '354', '72']

['03-0633_mask.png', '305', '164', '354', '72']

['03-0634_mask.png', '304', '163', '353', '71']

['03-0635_mask.png', '304', '162', '353', '70']

['03-0636_mask.png', '303', '160', '352', '68']

['03-0637_mask.png', '304', '158', '352', '68']

['03-0638_mask.png', '306', '153', '352', '64']

['03-0639_mask.png', '306', '146', '350', '59']

['03-0640_mask.png', '307', '141', '351', '57']

['03-0641_mask.png', '310', '134', '353', '54']

['03-0642_mask.png', '311', '130', '351', '50']

['03-0643_mask.png', '306', '122', '351', '45']

['03-0644_mask.png', '313', '120', '351', '43']

['03-0645_mask.png', '318', '108', '351', '43']

['03-0646_mask.png', '319', '102', '351', '43']

['03-0647_mask.png', '322', '98', '351', '42']

['03-0648_mask.png', '322', '98', '351', '42']

['03-0649_mask.png', '322', '98', '351', '42']

['03-0650_mask.png', '322', '98', '351', '42']

['03-0651_mask.png', '322', '98', '351', '42']

['03-0652_mask.png', '325', '95', '351', '42']

['03-0653_mask.png', '325', '95', '351', '42']

['03-0654_mask.png', '325', '95', '351', '42']

['03-0655_mask.png', '324', '94', '349', '42']

['03-0656_mask.png', '323', '94', '349', '41']

['03-0657_mask.png', '323', '94', '349', '41']

['03-0658_mask.png', '323', '94', '349', '41']

['03-0659_mask.png', '323', '94', '349', '41']

['03-0660_mask.png', '323', '94', '349', '41']

['03-0661_mask.png', '323', '94', '346', '41']

['03-0662_mask.png', '323', '94', '346', '41']

['03-0663_mask.png', '327', '89', '346', '41']

['03-0664_mask.png', '327', '89', '346', '41']

['03-0665_mask.png', '327', '89', '346', '41']

['03-0666_mask.png', '327', '89', '346', '41']

['03-0667_mask.png', '327', '89', '346', '41']

['03-0668_mask.png', '327', '89', '346', '41']

['03-0669_mask.png', '327', '89', '346', '46']

['03-0670_mask.png', '327', '89', '346', '46']

['03-0671_mask.png', '327', '89', '346', '46']

['03-0672_mask.png', '326', '89', '346', '44']

['03-0673_mask.png', '326', '89', '346', '44']

['03-0674_mask.png', '326', '89', '346', '44']

['03-0675_mask.png', '326', '89', '346', '44']

['03-0676_mask.png', '326', '89', '346', '44']

['03-0677_mask.png', '326', '89', '346', '44']

['03-0678_mask.png', '326', '89', '346', '44']

['03-0679_mask.png', '326', '89', '346', '44']

['03-0680_mask.png', '326', '89', '346', '44']

['03-0681_mask.png', '326', '89', '346', '44']

['03-0682_mask.png', '325', '89', '346', '43']

['03-0683_mask.png', '304', '116', '346', '37']

['03-0684_mask.png', '304', '121', '349', '33']

['03-0685_mask.png', '297', '126', '351', '33']

['03-0686_mask.png', '291', '129', '354', '29']

['03-0687_mask.png', '291', '129', '354', '29']

['03-0688_mask.png', '263', '146', '330', '33']

['03-0689_mask.png', '255', '151', '327', '34']

['03-0690_mask.png', '251', '152', '327', '33']

['03-0691_mask.png', '251', '152', '326', '33']

['03-0692_mask.png', '253', '150', '326', '32']

['03-0693_mask.png', '251', '150', '321', '32']

['03-0694_mask.png', '250', '156', '318', '32']

['03-0695_mask.png', '250', '160', '321', '32']

['03-0696_mask.png', '250', '160', '321', '37']

['03-0697_mask.png', '255', '163', '323', '37']

['03-0698_mask.png', '255', '163', '323', '37']

['03-0699_mask.png', '255', '163', '323', '37']

['03-0700_mask.png', '257', '170', '324', '44']

['03-0701_mask.png', '259', '175', '327', '50']

['03-0702_mask.png', '263', '185', '332', '57']

['03-0703_mask.png', '266', '191', '336', '63']

['03-0704_mask.png', '275', '198', '338', '70']

['03-0705_mask.png', '276', '200', '339', '72']

['03-0706_mask.png', '275', '200', '338', '71']

['03-0707_mask.png', '276', '196', '339', '68']

['03-0708_mask.png', '277', '199', '340', '71']

['03-0709_mask.png', '277', '199', '340', '71']

['03-0710_mask.png', '277', '199', '340', '71']

['03-0711_mask.png', '277', '199', '340', '71']

['03-0712_mask.png', '277', '199', '340', '71']

['03-0713_mask.png', '278', '201', '341', '73']

['03-0714_mask.png', '279', '203', '342', '75']

['03-0715_mask.png', '281', '203', '342', '76']

['03-0716_mask.png', '281', '203', '342', '76']

['03-0717_mask.png', '281', '206', '342', '79']

['03-0718_mask.png', '281', '206', '342', '79']

['03-0719_mask.png', '281', '206', '342', '79']

['03-0720_mask.png', '281', '206', '342', '79']

['03-0721_mask.png', '281', '206', '342', '79']

['03-0722_mask.png', '281', '206', '342', '79']

['03-0723_mask.png', '281', '206', '342', '79']

['03-0724_mask.png', '286', '204', '340', '77']

['03-0725_mask.png', '292', '204', '340', '77']

['03-0726_mask.png', '299', '204', '340', '77']

['03-0727_mask.png', '305', '207', '346', '80']

['03-0728_mask.png', '315', '207', '355', '80']

['03-0729_mask.png', '330', '165', '350', '80']

['03-0730_mask.png', '330', '165', '350', '80']

['03-0731_mask.png', '330', '165', '350', '80']

['03-0732_mask.png', '330', '165', '350', '80']

['03-0733_mask.png', '330', '165', '350', '80']

['03-0734_mask.png', '330', '165', '350', '80']

['03-0735_mask.png', '330', '165', '350', '80']

['03-0736_mask.png', '330', '165', '350', '80']

['03-0737_mask.png', '330', '165', '350', '80']

['03-0738_mask.png', '330', '165', '350', '80']

['03-0739_mask.png', '330', '165', '350', '80']

['03-0740_mask.png', '330', '165', '350', '80']

['03-0741_mask.png', '330', '165', '350', '80']

['03-0742_mask.png', '330', '165', '350', '80']

['03-0743_mask.png', '330', '165', '350', '80']

['03-0744_mask.png', '330', '165', '350', '80']

['03-0745_mask.png', '330', '165', '350', '80']

['03-0746_mask.png', '330', '165', '350', '80']

['03-0747_mask.png', '330', '165', '350', '80']

['03-0748_mask.png', '330', '165', '350', '80']

['03-0749_mask.png', '330', '165', '350', '80']

['03-0750_mask.png', '330', '165', '350', '80']

['03-0751_mask.png', '330', '165', '350', '80']

['03-0752_mask.png', '330', '165', '350', '80']

['03-0753_mask.png', '330', '165', '350', '80']

['03-0754_mask.png', '330', '165', '350', '80']

['03-0755_mask.png', '330', '165', '350', '80']

['03-0756_mask.png', '330', '165', '350', '80']

['03-0757_mask.png', '330', '165', '350', '80']

['03-0758_mask.png', '330', '165', '350', '80']

['03-0759_mask.png', '330', '165', '350', '80']

['03-0760_mask.png', '330', '165', '350', '80']

['03-0761_mask.png', '330', '165', '350', '80']

['03-0762_mask.png', '330', '165', '350', '80']

['03-0763_mask.png', '330', '165', '350', '80']

['03-0764_mask.png', '330', '165', '350', '80']

['03-0765_mask.png', '330', '165', '350', '80']

['03-0766_mask.png', '330', '165', '350', '80']

['03-0767_mask.png', '330', '165', '350', '80']

['03-0768_mask.png', '330', '165', '350', '80']

['03-0769_mask.png', '330', '165', '350', '80']

['03-0770_mask.png', '330', '165', '350', '80']

['03-0771_mask.png', '330', '165', '350', '80']

['03-0772_mask.png', '330', '165', '350', '80']

['03-0773_mask.png', '330', '165', '350', '80']

['03-0774_mask.png', '330', '165', '350', '80']

['03-0775_mask.png', '330', '165', '350', '80']

['03-0776_mask.png', '330', '165', '350', '80']

['03-0777_mask.png', '330', '165', '350', '80']

['03-0778_mask.png', '330', '165', '350', '80']

['03-0779_mask.png', '330', '165', '350', '80']

['03-0780_mask.png', '330', '165', '350', '80']

['03-0781_mask.png', '330', '165', '350', '80']

['03-0782_mask.png', '330', '165', '350', '80']

['03-0783_mask.png', '330', '165', '350', '80']

['03-0784_mask.png', '330', '165', '350', '80']

['03-0785_mask.png', '330', '165', '350', '80']

['03-0786_mask.png', '330', '165', '350', '80']

['03-0787_mask.png', '330', '165', '350', '80']

['03-0788_mask.png', '330', '165', '350', '80']

['03-0789_mask.png', '330', '165', '350', '80']

['03-0790_mask.png', '330', '165', '350', '80']

['03-0791_mask.png', '330', '165', '350', '80']

['03-0792_mask.png', '330', '165', '350', '80']

['03-0793_mask.png', '330', '165', '350', '80']

['03-0794_mask.png', '330', '165', '350', '80']

['03-0795_mask.png', '330', '165', '350', '80']

['03-0796_mask.png', '330', '165', '350', '80']

['03-0797_mask.png', '330', '165', '350', '80']

['03-0798_mask.png', '336', '163', '346', '118']

['03-0799_mask.png', '334', '244', '346', '118']

['03-0800_mask.png', '328', '246', '349', '111']

['03-0801_mask.png', '325', '246', '349', '108']

['03-0802_mask.png', '321', '252', '352', '107']

['03-0803_mask.png', '318', '251', '352', '108']

['03-0804_mask.png', '318', '251', '354', '108']

['03-0805_mask.png', '316', '251', '354', '107']

['03-0806_mask.png', '314', '251', '357', '107']

['03-0807_mask.png', '314', '251', '357', '107']

['03-0808_mask.png', '312', '256', '357', '106']

['03-0809_mask.png', '309', '258', '357', '100']

['03-0810_mask.png', '309', '258', '357', '100']

['03-0811_mask.png', '307', '259', '357', '100']

['03-0812_mask.png', '305', '258', '357', '100']

['03-0813_mask.png', '305', '258', '357', '100']

['03-0814_mask.png', '305', '258', '357', '100']

['03-0815_mask.png', '304', '256', '357', '100']

['03-0816_mask.png', '302', '259', '357', '103']

['03-0817_mask.png', '300', '261', '357', '106']

['03-0818_mask.png', '298', '261', '357', '109']

['03-0819_mask.png', '282', '267', '351', '112']

['03-0820_mask.png', '269', '278', '340', '114']

['03-0821_mask.png', '265', '283', '340', '114']

['03-0822_mask.png', '255', '283', '340', '119']

['03-0823_mask.png', '249', '286', '340', '119']

['03-0824_mask.png', '247', '288', '340', '120']

['03-0825_mask.png', '245', '288', '340', '120']

['03-0826_mask.png', '243', '288', '340', '118']

['03-0827_mask.png', '245', '285', '342', '114']

['03-0828_mask.png', '245', '285', '342', '114']

['03-0829_mask.png', '245', '285', '342', '110']

['03-0830_mask.png', '246', '282', '343', '107']

['03-0831_mask.png', '246', '283', '343', '107']

['03-0832_mask.png', '246', '283', '343', '107']

['03-0833_mask.png', '246', '283', '343', '107']

['03-0834_mask.png', '246', '283', '343', '108']

['03-0835_mask.png', '247', '283', '343', '108']

['03-0836_mask.png', '251', '283', '343', '108']

['03-0837_mask.png', '250', '283', '343', '110']

['03-0838_mask.png', '256', '283', '339', '108']

['03-0839_mask.png', '259', '280', '335', '107']

['03-0840_mask.png', '263', '278', '339', '105']

['03-0841_mask.png', '273', '275', '337', '103']

['03-0842_mask.png', '276', '271', '337', '100']

['03-0843_mask.png', '281', '268', '335', '99']

['03-0844_mask.png', '286', '261', '340', '92']

['03-0845_mask.png', '286', '260', '340', '91']

['03-0846_mask.png', '286', '260', '340', '91']

['03-0847_mask.png', '282', '259', '336', '89']

['03-0848_mask.png', '282', '259', '336', '89']

['03-0849_mask.png', '282', '259', '336', '89']

['03-0850_mask.png', '282', '259', '336', '89']

['03-0851_mask.png', '284', '259', '336', '92']

['03-0852_mask.png', '283', '259', '336', '94']

['03-0853_mask.png', '283', '259', '336', '96']

['03-0854_mask.png', '282', '261', '336', '99']

['03-0855_mask.png', '282', '261', '336', '99']

['03-0856_mask.png', '280', '263', '334', '101']

['03-0857_mask.png', '280', '263', '334', '101']

['03-0858_mask.png', '280', '263', '334', '101']

['03-0859_mask.png', '280', '264', '328', '101']

['03-0860_mask.png', '280', '264', '328', '101']

['03-0861_mask.png', '280', '264', '328', '101']

['03-0862_mask.png', '283', '261', '333', '97']

['03-0863_mask.png', '285', '261', '333', '97']

['03-0864_mask.png', '286', '261', '333', '97']

['03-0865_mask.png', '288', '259', '333', '94']

['03-0866_mask.png', '288', '259', '333', '94']

['03-0867_mask.png', '288', '259', '333', '94']

['03-0868_mask.png', '291', '259', '333', '98']

['03-0869_mask.png', '291', '259', '333', '100']

['03-0870_mask.png', '291', '259', '333', '100']

['03-0871_mask.png', '288', '259', '333', '105']

['03-0872_mask.png', '287', '261', '333', '107']

['03-0873_mask.png', '287', '261', '333', '107']

['03-0874_mask.png', '287', '261', '333', '107']

['03-0875_mask.png', '290', '257', '337', '103']

['03-0876_mask.png', '290', '257', '337', '103']

['03-0877_mask.png', '293', '254', '337', '101']

['03-0878_mask.png', '294', '254', '337', '101']

['03-0879_mask.png', '294', '254', '337', '101']

['03-0880_mask.png', '295', '251', '336', '97']

['03-0881_mask.png', '288', '243', '336', '83']

['03-0882_mask.png', '285', '233', '341', '71']

['03-0883_mask.png', '282', '228', '342', '70']

['03-0884_mask.png', '282', '228', '342', '70']

['03-0885_mask.png', '283', '228', '339', '69']

['03-0886_mask.png', '283', '228', '339', '69']

['03-0887_mask.png', '284', '230', '339', '71']

['03-0888_mask.png', '284', '230', '339', '71']

['03-0889_mask.png', '284', '230', '339', '71']

['03-0890_mask.png', '284', '230', '339', '71']

['03-0891_mask.png', '277', '230', '339', '69']

['03-0892_mask.png', '270', '219', '336', '57']

['03-0893_mask.png', '268', '210', '344', '47']

['03-0894_mask.png', '264', '205', '334', '42']

['03-0895_mask.png', '264', '185', '339', '38']

['03-0896_mask.png', '259', '177', '343', '29']

['03-0897_mask.png', '257', '161', '345', '24']

['03-0898_mask.png', '257', '180', '345', '21']

['03-0899_mask.png', '257', '180', '345', '21']

['03-0900_mask.png', '255', '180', '344', '13']

['03-0901_mask.png', '252', '180', '344', '12']

['03-0902_mask.png', '249', '180', '344', '10']

['03-0903_mask.png', '245', '180', '344', '7']

['03-0904_mask.png', '245', '180', '344', '7']

['03-0905_mask.png', '245', '180', '344', '7']

['03-0906_mask.png', '242', '180', '344', '12']

['03-0907_mask.png', '239', '180', '344', '12']

['03-0908_mask.png', '239', '180', '344', '12']

['03-0909_mask.png', '239', '180', '344', '12']

['03-0910_mask.png', '236', '178', '341', '10']

['03-0911_mask.png', '236', '178', '341', '10']

['03-0912_mask.png', '236', '178', '341', '10']

['03-0913_mask.png', '246', '165', '361', '10']

['03-0914_mask.png', '251', '168', '361', '10']

['03-0915_mask.png', '256', '155', '362', '14']

['03-0916_mask.png', '258', '148', '355', '14']

['03-0917_mask.png', '258', '148', '355', '14']

['03-0918_mask.png', '278', '132', '355', '14']

['03-0919_mask.png', '277', '130', '355', '14']

['03-0920_mask.png', '277', '130', '355', '14']

['03-0921_mask.png', '277', '130', '355', '14']

['03-0922_mask.png', '277', '130', '355', '14']

['03-0923_mask.png', '282', '130', '355', '19']

['03-0924_mask.png', '286', '130', '355', '19']

['03-0925_mask.png', '286', '130', '355', '21']

['03-0926_mask.png', '290', '130', '355', '21']

['03-0927_mask.png', '290', '130', '355', '21']

['03-0928_mask.png', '291', '130', '355', '23']

['03-0929_mask.png', '291', '130', '355', '23']

['03-0930_mask.png', '295', '130', '355', '24']

['03-0931_mask.png', '298', '130', '355', '29']

['03-0932_mask.png', '298', '130', '355', '29']

['03-0933_mask.png', '305', '130', '355', '29']

['03-0934_mask.png', '305', '134', '355', '32']

['03-0935_mask.png', '308', '140', '356', '39']

['03-0936_mask.png', '311', '144', '356', '45']

['03-0937_mask.png', '314', '152', '356', '45']

['03-0938_mask.png', '315', '162', '356', '54']

['03-0939_mask.png', '313', '183', '353', '63']

['03-0940_mask.png', '315', '197', '355', '68']

['03-0941_mask.png', '314', '210', '354', '78']

['03-0942_mask.png', '311', '220', '351', '87']

['03-0943_mask.png', '310', '230', '351', '92']

['03-0944_mask.png', '312', '238', '351', '94']

['03-0945_mask.png', '312', '240', '351', '96']

['03-0946_mask.png', '312', '240', '351', '96']

['03-0947_mask.png', '312', '240', '351', '96']

['03-0948_mask.png', '312', '240', '351', '98']

['03-0949_mask.png', '312', '240', '351', '98']

['03-0950_mask.png', '312', '240', '351', '97']

['03-0951_mask.png', '310', '238', '348', '93']

['03-0952_mask.png', '310', '236', '348', '92']

['03-0953_mask.png', '310', '235', '347', '90']

['03-0954_mask.png', '309', '236', '348', '89']

['03-0955_mask.png', '308', '235', '349', '88']

['03-0956_mask.png', '308', '235', '349', '88']

['03-0957_mask.png', '308', '235', '349', '88']

['03-0958_mask.png', '305', '235', '349', '87']

['03-0959_mask.png', '305', '235', '349', '87']

['03-0960_mask.png', '305', '235', '349', '91']

['03-0961_mask.png', '305', '235', '349', '91']

['03-0962_mask.png', '303', '236', '346', '98']

['03-0963_mask.png', '303', '236', '346', '98']

['03-0964_mask.png', '303', '236', '346', '101']

['03-0965_mask.png', '303', '236', '346', '103']

['03-0966_mask.png', '303', '239', '346', '103']

['03-0967_mask.png', '303', '239', '346', '103']

['03-0968_mask.png', '303', '239', '346', '103']

['03-0969_mask.png', '303', '240', '346', '104']

['03-0970_mask.png', '301', '235', '345', '99']

['03-0971_mask.png', '301', '233', '345', '97']

['03-0972_mask.png', '297', '230', '344', '85']

['04-0001_mask.png', '185', '237', '268', '147']

['04-0002_mask.png', '185', '237', '268', '147']

['04-0003_mask.png', '188', '234', '272', '144']

['04-0004_mask.png', '188', '234', '272', '144']

['04-0005_mask.png', '190', '233', '274', '144']

['04-0006_mask.png', '190', '233', '274', '144']

['04-0007_mask.png', '190', '233', '274', '144']

['04-0008_mask.png', '190', '233', '274', '144']

['04-0009_mask.png', '190', '232', '273', '143']

['04-0010_mask.png', '190', '232', '273', '143']

['04-0011_mask.png', '191', '233', '274', '143']

['04-0012_mask.png', '191', '233', '274', '143']

['04-0013_mask.png', '191', '233', '274', '143']

['04-0014_mask.png', '191', '233', '274', '143']

['04-0015_mask.png', '187', '217', '271', '135']

['04-0016_mask.png', '186', '217', '274', '135']

['04-0017_mask.png', '188', '207', '277', '125']

['04-0018_mask.png', '182', '196', '270', '112']

['04-0019_mask.png', '180', '191', '265', '110']

['04-0020_mask.png', '185', '183', '259', '109']

['04-0021_mask.png', '185', '183', '259', '109']

['04-0022_mask.png', '185', '182', '259', '102']

['04-0023_mask.png', '186', '187', '262', '99']

['04-0024_mask.png', '186', '184', '262', '97']

['04-0025_mask.png', '186', '184', '262', '97']

['04-0026_mask.png', '188', '179', '263', '93']

['04-0027_mask.png', '188', '179', '263', '93']

['04-0028_mask.png', '190', '175', '265', '89']

['04-0029_mask.png', '193', '175', '262', '91']

['04-0030_mask.png', '193', '175', '262', '91']

['04-0031_mask.png', '193', '174', '264', '90']

['04-0032_mask.png', '194', '175', '263', '91']

['04-0033_mask.png', '194', '175', '263', '91']

['04-0034_mask.png', '194', '174', '264', '91']

['04-0035_mask.png', '193', '175', '270', '90']

['04-0036_mask.png', '196', '174', '272', '90']

['04-0037_mask.png', '197', '176', '277', '92']

['04-0038_mask.png', '190', '184', '277', '95']

['04-0039_mask.png', '194', '184', '278', '95']

['04-0040_mask.png', '194', '187', '280', '95']

['04-0041_mask.png', '188', '198', '280', '99']

['04-0042_mask.png', '188', '203', '283', '99']

['04-0043_mask.png', '180', '202', '280', '102']

['04-0044_mask.png', '184', '205', '284', '101']

